Country,Trade Value 1000USD,Quantity,Population,Reigon
Albania,1945,115206000,2854191,Europe
Angola,4453.29,141001000,31825299,Africa
Argentina,51866,45685200,44938712,South America
Armenia,1333.87,85673300,2957728,Asia
Aruba,158.35,40509600,106310,South America
Australia,64047.55,55865200,25365745,Oceania
Austria,114844.74,102586000,8879920,Europe
Azerbaijan,3650.75,44114800,10024283,Asia
Bahrain,8348.38,20866500,1641164,Asia
Barbados,446.98,23074100,287021,South America
Belarus,19687.1,21115600,9419758,Europe
Belgium,134954.02,18055400,11488980,Europe
Belize,422.25,27507100,390351,Europe
Benin,137.93,27787900,11801151,Africa
Bermuda,34.78,17341400,63911,North America
Bolivia,8656.48,19353100,11513102,South America
Bosnia and Herzegovina,12357.05,14081200,3300998,Europe
Botswana,1337.46,29918600,2303703,Africa
Brazil,117637.74,13793800,211049519,South America
Brunei,461.93,10002600,433296,Asia
Burkina Faso,456.8,10318300,20321383,Africa
Burundi,20.17,10805500,11530577,Africa
Cambodia,72.85,8981540,16486542,Asia
Canada,292272.35,10515800,37601230,North America
Chile,53442.44,5623350,18952035,South America
China,672767.03,9401720,1407745000,Asia
Colombia,38124.64,5156300,50339443,South America
Comoros,2.08,5036410,850891,Africa
"Congo, Dem. Rep.",2771.91,5867430,86790568,Africa
"Congo, Rep.",1228.71,4803050,5380504,Africa
Costa Rica,7740.72,4612310,5047561,North America
Cote d'Ivoire,2025.6,2729450,25716554,Africa
Croatia,19611.7,4390420,4065253,Europe
Cyprus,2599.8,3082120,1198574,Europe
Czech Republic,196493,3955330,10671870,Europe
Denmark,13347.89,3605370,5814422,Europe
Dominican Republic,2126.75,2974940,10738957,North America
Ecuador,31245.32,3198140,17373657,South America
"Egypt, Arab Rep.",22534.37,2298880,100388076,Africa
El Salvador,5830.66,2656050,6453550,North America
Estonia,5366.47,93817.2,1326855,Europe
Eswatini,1166.98,1854110,1148133,Africa
Ethiopia(excludes Eritrea),4928.44,1507830,112078727,Africa
Fiji,1310.45,4772350,889955,Oceania
Finland,24735.33,1524350,5521606,Europe
France,428686.7,946057,67248926,Europe
French Polynesia,898.16,2858240,279285,Oceania
"Gambia, The",1.42,1194540,2347696,Africa
Georgia,2326.12,1481670,3720161,Asia
Germany,1096887.5,1416950,83092962,Europe
Ghana,1553.52,2428040,30417858,Africa
Greece,33042.71,1201170,10721582,Europe
Grenada,170.56,1653030,56225,South America
Guatemala,14890.24,1235050,16604026,North America
Honduras,5725.03,1800800,9746115,North America
"Hong Kong, China",12056.66,1107350,7507900,Asia
Hungary,379965.63,3434310,9771141,Europe
Iceland,919.03,780187,360563,Europe
India,115690.83,873780,1366417756,Asia
Indonesia,92953.67,939583,270625567,Asia
Ireland,11039.17,944935,4934340,Europe
Italy,476571.06,742614,59729081,Europe
Jamaica,1771.87,550901,2948277,North America
Japan,295676.63,601579,126633000,Asia
Jordan,2061.47,3248060,10101697,Asia
Kazakhstan,13834.9,572807,18513673,Asia
Kenya,8457.8,1535240,52573967,Africa
"Korea, Rep.",87873.49,453118,51764822,Asia
Kuwait,7028.69,904664,4207077,Asia
Kyrgyz Republic,477.45,272638,6456200,Asia
Lao PDR,167.34,1478460,7169456,Asia
Latvia,9488.1,424039,1913822,Europe
Lebanon,2792.53,486759,6855709,Asia
Lesotho,338.62,501575,2125267,Africa
Lithuania,22380.28,622278,2794137,Europe
Luxembourg,2238.37,313842,620001,Europe
Madagascar,1120.97,426299,26969306,Africa
Malawi,720.2,372158,18628749,Africa
Malaysia,47158.64,505346,31949789,Asia
Maldives,129.98,770226,530957,Asia
Mali,96.64,405721,19658023,Africa
Malta,1149.41,759728,504062,Europe
Mauritania,0.19,2722580,4525698,Africa
